::ffff:127.0.0.1 - - [15/Aug/2022:00:03:19 +0000] "POST /GponForm/diag_Form?images/ HTTP/1.0" 404 158 "-" "Hello, World"
::1 - - [15/Aug/2022:00:24:18 +0000] "POST / HTTP/1.0" 404 140 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:00:24:18 +0000] "GET /.env HTTP/1.0" 404 143 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36"
::1 - - [15/Aug/2022:00:42:36 +0000] "GET / HTTP/1.0" 404 139 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
::1 - - [15/Aug/2022:00:58:32 +0000] "POST /api/v1/users/login HTTP/1.0" 500 403 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:00:59:15 +0000] "POST /api/v1/users HTTP/1.0" 500 404 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:14:34 +0000] "POST /api/v1/users/login HTTP/1.0" 200 503 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:14:35 +0000] "GET /api/v1/categories HTTP/1.0" 200 426 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:14:35 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 200 122 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:14:35 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 200 1832 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:15:00 +0000] "GET /api/v1/categories HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:15:00 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:15:00 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:10 +0000] "POST /api/v1/goods HTTP/1.0" 200 355 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:10 +0000] "POST /api/v1/transactions HTTP/1.0" 200 256 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:11 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 200 2222 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:11 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 200 432 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:12 +0000] "PUT /api/v1/goods/62f99f4a8e470b4b6899c27c/upload-photo HTTP/1.0" 200 60 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:19 +0000] "POST /api/v1/bills/receipt HTTP/1.0" 200 284 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:19 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 200 122 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:19 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 200 122 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:23 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:23 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 200 2248 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:23 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 200 2248 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:25 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:25 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:25 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:28 +0000] "GET /api/v1/goods/62f99f4a8e470b4b6899c27c HTTP/1.0" 200 439 "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:28 +0000] "GET /api/v1/transactions/user?good=62f99f4a8e470b4b6899c27c&sort=-createdAt HTTP/1.0" 200 576 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:28 +0000] "GET /upload/undefined HTTP/1.0" 404 155 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:28 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:20:28 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:20:41 +0000] "GET /api/v1/categories HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:22:02 +0000] "GET /api/v1/transactions/basket?limit=100&sort=-createdAt HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:01:22:03 +0000] "GET /api/v1/goods/user?limit=100 HTTP/1.0" 304 - "-" "okhttp/4.9.2"
::1 - - [15/Aug/2022:01:55:10 +0000] "GET / HTTP/1.0" 404 139 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [15/Aug/2022:02:03:05 +0000] "GET /upload/undefined HTTP/1.0" 404 155 "-" "okhttp/4.9.2"
::ffff:127.0.0.1 - - [15/Aug/2022:02:03:06 +0000] "GET /api/v1/goods/62f99f4a8e470b4b6899c27c HTTP/1.0" 304 - "-" "okhttp/4.9.2"
