::1 - - [06/Jun/2022:04:46:36 +0000] "GET / HTTP/1.1" 404 139 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36"
::1 - - [06/Jun/2022:05:27:30 +0000] "POST /api/v1/users/login HTTP/1.1" 200 544 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:05:27:37 +0000] "GET /api/v1/users HTTP/1.1" 200 340 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:05:31:54 +0000] "POST /api/v1categories HTTP/1.1" 404 156 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:05:32:02 +0000] "POST /api/v1/categories HTTP/1.1" 403 150 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:05:33:03 +0000] "PUT /api/v1/users/629cb2262041ea5614cd69b4 HTTP/1.1" 403 150 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:06:49:40 +0000] "POST /api/v1/categories HTTP/1.1" 403 150 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:06:49:49 +0000] "POST /api/v1/users/login HTTP/1.1" 200 547 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:06:49:53 +0000] "POST /api/v1/categories HTTP/1.1" 200 178 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:06:51:12 +0000] "GET /api/v1/categories HTTP/1.1" 200 248 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:06:57:13 +0000] "POST /api/v1/goods HTTP/1.1" 200 366 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:06:57:32 +0000] "GET /api/v1/goods HTTP/1.1" 200 503 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:06:58:41 +0000] "GET /api/v1/users HTTP/1.1" 200 341 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:27:51 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 400 109 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:28:14 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 277 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:32:09 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 500 66 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:32:29 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 500 559 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:33:10 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 277 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:34:57 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 277 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:39:08 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 277 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:44:50 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 277 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:51:13 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 269 "-" "PostmanRuntime/7.29.0"
::1 - - [06/Jun/2022:07:51:54 +0000] "POST /api/v1/bills/receipt HTTP/1.1" 200 320 "-" "PostmanRuntime/7.29.0"
